id_eca_14,H3_int_4
Baltic Sea area,594626660079239167
Baltic Sea area,595023411978174463
Baltic Sea area,594626514050351103
Baltic Sea area,594626617129566207
Baltic Sea area,594776614567411711
Baltic Sea area,595028626068471807
Baltic Sea area,594626050193883135
Baltic Sea area,595028677608079359
Baltic Sea area,594625551977676799
Baltic Sea area,594626170452967423
Baltic Sea area,594626385201332223
Baltic Sea area,594625689416630271
Baltic Sea area,594632819062341631
Baltic Sea area,594626642899369983
Baltic Sea area,595027165779591167
Baltic Sea area,595027432067563519
Baltic Sea area,595020517170216959
Baltic Sea area,595028230931480575
Baltic Sea area,594626033014013951
Baltic Sea area,595023334668763135
Baltic Sea area,594624847603040255
Baltic Sea area,594624942092320767
Baltic Sea area,594624924912451583
Baltic Sea area,594624787473498111
Baltic Sea area,595021350393872383
Baltic Sea area,594626024424079359
Baltic Sea area,594626136093229055
Baltic Sea area,594630534139740159
Baltic Sea area,594624701574152191
Baltic Sea area,594632578544173055
Baltic Sea area,594626754568519679
Baltic Sea area,594632647263649791
Baltic Sea area,594627665101586431
Baltic Sea area,595023497877520383
Baltic Sea area,594625947114668031
Baltic Sea area,595021513602629631
Baltic Sea area,594624950682255359
Baltic Sea area,594627656511651839
Baltic Sea area,594777645359562751
Baltic Sea area,594626093143556095
Baltic Sea area,595028488629518335
Baltic Sea area,594624873372844031
Baltic Sea area,595022939531771903
Baltic Sea area,595028402730172415
Baltic Sea area,595023506467454975
Baltic Sea area,595023386208370687
Baltic Sea area,594626067373752319
Baltic Sea area,594630499780001791
Baltic Sea area,595027423477628927
Baltic Sea area,595023403388239871
Baltic Sea area,594625809675714559
Baltic Sea area,595020860767600639
Baltic Sea area,595023618136604671
Baltic Sea area,594776855085580287
Baltic Sea area,595022836452556799
Baltic Sea area,595028522989256703
Baltic Sea area,594626531230220287
Baltic Sea area,595022922351902719
Baltic Sea area,594625277099769855
Baltic Sea area,594626788928258047
Baltic Sea area,595022956711641087
Baltic Sea area,595020637429301247
Baltic Sea area,594777636769628159
Baltic Sea area,595028454269779967
Baltic Sea area,595021376163676159
Baltic Sea area,594625560567611391
Baltic Sea area,594625655056891903
Baltic Sea area,594625045171535871
Baltic Sea area,594626582769827839
Baltic Sea area,595020560119889919
Baltic Sea area,594624881962778623
Baltic Sea area,595021444883152895
Baltic Sea area,594626393791266815
Baltic Sea area,595020534350086143
Baltic Sea area,595023343258697727
Baltic Sea area,594625706596499455
Baltic Sea area,594625826855583743
Baltic Sea area,594626368021463039
Baltic Sea area,594627604972044287
Baltic Sea area,595028213751611391
Baltic Sea area,594624907732582399
Baltic Sea area,595023480697651199
Baltic Sea area,594626221992574975
Baltic Sea area,595023059790856191
Baltic Sea area,595023085560659967
Baltic Sea area,595028505809387519
Baltic Sea area,594632569954238463
Baltic Sea area,594777602409889791
Baltic Sea area,595023437747978239
Baltic Sea area,594626187632836607
Baltic Sea area,595027414887694335
Baltic Sea area,595028376960368639
Baltic Sea area,594625543387742207
Baltic Sea area,595023274539220991
Baltic Sea area,595028248111349759
Baltic Sea area,595028669018144767
Baltic Sea area,594777877287796735
Baltic Sea area,594627596382109695
Baltic Sea area,594625637877022719
Baltic Sea area,594629503347589119
Baltic Sea area,594632638673715199
Baltic Sea area,594777868697862143
Baltic Sea area,594626230582509567
Baltic Sea area,595023635316473855
Baltic Sea area,595021462063022079
Baltic Sea area,594629529117392895
Baltic Sea area,595023446337912831
Baltic Sea area,594624856192974847
Baltic Sea area,595020628839366655
Baltic Sea area,595020594479628287
Baltic Sea area,595023927374249983
Baltic Sea area,595027114239983615
Baltic Sea area,595020869357535231
Baltic Sea area,594777911647535103
Baltic Sea area,594632604313976831
Baltic Sea area,595028385550303231
Baltic Sea area,594629245649551359
Baltic Sea area,594625878395191295
Baltic Sea area,594626557000024063
Baltic Sea area,595027389117890559
Baltic Sea area,594625861215322111
Baltic Sea area,595027397707825151
Baltic Sea area,595020826407862271
Baltic Sea area,594632612903911423
Baltic Sea area,594626350841593855
Baltic Sea area,594625929934798847
Baltic Sea area,594626118913359871
Baltic Sea area,595023076970725375
Baltic Sea area,595021358983806975
Baltic Sea area,594632801882472447
Baltic Sea area,594629546297262079
Baltic Sea area,594632561364303871
Baltic Sea area,594624839013105663
Baltic Sea area,594626651489304575
Baltic Sea area,594632827652276223
Baltic Sea area,594624830423171071
Baltic Sea area,594625534797807615
Baltic Sea area,594632484054892543
Baltic Sea area,594632544184434687
Baltic Sea area,594625526207873023
Baltic Sea area,595023283129155583
Baltic Sea area,595022879402229759
Baltic Sea area,595028608888602623
Baltic Sea area,595028497219452927
Baltic Sea area,595023351848632319
Baltic Sea area,595022724783407103
Baltic Sea area,595023360438566911
Baltic Sea area,594625835445518335
Baltic Sea area,594625603517284351
Baltic Sea area,594627630741848063
Baltic Sea area,594626015834144767
Baltic Sea area,594625912754929663
Baltic Sea area,595021341803937791
Baltic Sea area,595023652496343039
Baltic Sea area,594627647921717247
Baltic Sea area,595028359780499455
Baltic Sea area,594628223447334911
Baltic Sea area,594777628179693567
Baltic Sea area,595028574528864255
Baltic Sea area,595023369028501503
Baltic Sea area,594627579202240511
Baltic Sea area,595028634658406399
Baltic Sea area,594632630083780607
Baltic Sea area,595028660428210175
Baltic Sea area,595021367573741567
Baltic Sea area,594626806108127231
Baltic Sea area,595028239521415167
Baltic Sea area,595023489287585791
Baltic Sea area,595027440657498111
Baltic Sea area,594624916322516991
Baltic Sea area,594625801085779967
Baltic Sea area,595020963846815743
Baltic Sea area,594625895575060479
Baltic Sea area,595022759143145471
Baltic Sea area,595022810682753023
Baltic Sea area,595028591708733439
Baltic Sea area,594627673691521023
Baltic Sea area,594776588797607935
Baltic Sea area,594625594927349759
Baltic Sea area,594626703028912127
Baltic Sea area,594632527004565503
Baltic Sea area,595022750553210879
Baltic Sea area,594624761703694335
Baltic Sea area,594626548410089471
Baltic Sea area,595020792048123903
Baltic Sea area,595028643248340991
Baltic Sea area,594625818265649151
Baltic Sea area,594626075963686911
Baltic Sea area,594626084553621503
Baltic Sea area,594624770293628927
Baltic Sea area,595028256701284351
Baltic Sea area,594626737388650495
Baltic Sea area,595020972436750335
Baltic Sea area,594624718754021375
Baltic Sea area,594629280009289727
Baltic Sea area,595027148599721983
Baltic Sea area,594626256352313343
Baltic Sea area,594625886985125887
Baltic Sea area,595028222341545983
Baltic Sea area,594627467533090815
Baltic Sea area,594626634309435391
Baltic Sea area,594626007244210175
Baltic Sea area,594627587792175103
Baltic Sea area,594632853422079999
Baltic Sea area,594625629287088127
Baltic Sea area,595022973891510271
Baltic Sea area,595028651838275583
Baltic Sea area,594624796063432703
Baltic Sea area,594624735933890559
Baltic Sea area,594625569157545983
Baltic Sea area,595023515057389567
Baltic Sea area,595023472107716607
Baltic Sea area,595022716193472511
Baltic Sea area,594626591359762431
Baltic Sea area,594626797518192639
Baltic Sea area,594626041603948543
Baltic Sea area,594629262829420543
Baltic Sea area,594625698006564863
Baltic Sea area,594632595724042239
Baltic Sea area,594626625719500799
Baltic Sea area,594626376611397631
Baltic Sea area,595020611659497471
Baltic Sea area,594625586337415167
Baltic Sea area,595022802092818431
Baltic Sea area,594627690871390207
Baltic Sea area,594625998654275583
Baltic Sea area,595028531579191295
Baltic Sea area,594629554887196671
Baltic Sea area,594625955704602623
Baltic Sea area,594625981474406399
Baltic Sea area,594626144683163647
Baltic Sea area,595020877947469823
Baltic Sea area,594632535594500095
Baltic Sea area,594625517617938431
Baltic Sea area,595023420568109055
Baltic Sea area,594626153273098239
Baltic Sea area,595023523647324159
Baltic Sea area,594627613561978879
Baltic Sea area,594777903057600511
Baltic Sea area,594626239172444159
Baltic Sea area,594776580207673343
Baltic Sea area,594625620697153535
Baltic Sea area,594626110323425279
Baltic Sea area,595020800638058495
Baltic Sea area,594627682281455615
Baltic Sea area,594629520527458303
Baltic Sea area,595023111330463743
Baltic Sea area,595028540169125887
Baltic Sea area,594624813243301887
Baltic Sea area,594630508369936383
Baltic Sea area,595021384753610751
Baltic Sea area,594624933502386175
Baltic Sea area,594630568499478527
Baltic Sea area,595028514399322111
Baltic Sea area,594625294279639039
Baltic Sea area,595020525760151551
Baltic Sea area,594627622151913471
Baltic Sea area,594628197677531135
Baltic Sea area,594630585679347711
Baltic Sea area,594625972884471807
Baltic Sea area,595021453473087487
Baltic Sea area,595028368370434047
Baltic Sea area,595020809227993087
Baltic Sea area,595027578096451583
Baltic Sea area,595022965301575679
Baltic Sea area,595028265291218943
Baltic Sea area,595020886537404415
Baltic Sea area,595020585889693695
Baltic Sea area,594630577089413119
Baltic Sea area,595020620249432063
Baltic Sea area,595022741963276287
Baltic Sea area,594626342251659263
Baltic Sea area,594632552774369279
Baltic Sea area,594626161863032831
Baltic Sea area,594625938524733439
Baltic Sea area,594777894467665919
Baltic Sea area,594625964294537215
Baltic Sea area,595028394140237823
Baltic Sea area,595023377618436095
Baltic Sea area,595028351190564863
Baltic Sea area,594626359431528447
Baltic Sea area,594625062351405055
Baltic Sea area,594629511937523711
Baltic Sea area,594625869805256703
Baltic Sea area,594624778883563519
Baltic Sea area,594624804653367295
Baltic Sea area,594632621493846015
Baltic Sea area,595023291719090175
Baltic Sea area,595027509376974847
Baltic Sea area,595020568709824511
Baltic Sea area,595021393343545343
Baltic Sea area,594625904164995071
Baltic Sea area,594626668669173759
Baltic Sea area,594627699461324799
United States Caribbean sea area,595828529367613439
United States Caribbean sea area,595825737638871039
United States Caribbean sea area,595828348978987007
United States Caribbean sea area,595825462760964095
United States Caribbean sea area,595828288849444863
United States Caribbean sea area,595828520777678847
United States Caribbean sea area,595827764863434751
United States Caribbean sea area,595827653194285055
United States Caribbean sea area,595825711869067263
United States Caribbean sea area,595828263079641087
United States Caribbean sea area,595828245899771903
United States Caribbean sea area,595828134230622207
United States Caribbean sea area,595828254489706495
United States Caribbean sea area,595827807813107711
United States Caribbean sea area,595828314619248639
United States Caribbean sea area,595828555137417215
United States Caribbean sea area,595828202950098943
United States Caribbean sea area,595828271669575679
United States Caribbean sea area,595828563727351807
United States Caribbean sea area,595828108460818431
United States Caribbean sea area,595827636014415871
United States Caribbean sea area,595828366158856191
United States Caribbean sea area,595825643149590527
United States Caribbean sea area,595828409108529151
United States Caribbean sea area,595826218675208191
United States Caribbean sea area,595828572317286399
United States Caribbean sea area,596133867182620671
United States Caribbean sea area,595825368271683583
United States Caribbean sea area,595828125640687615
United States Caribbean sea area,595827782043303935
United States Caribbean sea area,595828537957548031
United States Caribbean sea area,595828357568921599
United States Caribbean sea area,595825600199917567
United States Caribbean sea area,595828117050753023
United States Caribbean sea area,595825428401225727
United States Caribbean sea area,595828323209183231
United States Caribbean sea area,595828194360164351
United States Caribbean sea area,595825394041487359
United States Caribbean sea area,595825445581094911
United States Caribbean sea area,595828160000425983
United States Caribbean sea area,595827790633238527
United States Caribbean sea area,595827773453369343
United States Caribbean sea area,595825471350898687
United States Caribbean sea area,595825479940833279
United States Caribbean sea area,595828331799117823
United States Caribbean sea area,595828280259510271
United States Caribbean sea area,595825754818740223
United States Caribbean sea area,595828177180295167
United States Caribbean sea area,595825668919394303
United States Caribbean sea area,595825677509328895
United States Caribbean sea area,595828185770229759
United States Caribbean sea area,596133850002751487
United States Caribbean sea area,595828400518594559
North American area 1,594692630776905727
North American area 1,594691453955866623
North American area 1,595198131247775743
North American area 1,594992307825016831
North American area 1,595194927202172927
North American area 1,594987583360991231
North American area 1,594987703620075519
North American area 1,594804351466209279
North American area 1,595207829283930111
North American area 1,595197675981242367
North American area 1,594992110256521215
North American area 1,594988871851180031
North American area 1,594992316414951423
North American area 1,594992204745801727
North American area 1,594988992110264319
North American area 1,594993106688933887
North American area 1,594804007868825599
North American area 1,595180839709442047
North American area 1,594993372976906239
North American area 1,594992367954558975
North American area 1,595197134815363071
North American area 1,595194317316816895
North American area 1,595179611348795391
North American area 1,595179499679645695
North American area 1,595197581491961855
North American area 1,595193999489236991
North American area 1,595182506156752895
North American area 1,595194420396031999
North American area 1,595179791737421823
North American area 1,594801826025439231
North American area 1,595179190442000383
North American area 1,595192298682187775
North American area 1,594801783075766271
North American area 1,594691977941876735
North American area 1,594802109493280767
North American area 1,595194282957078527
North American area 1,595179860456898559
North American area 1,594990108801761279
North American area 1,594801817435504639
North American area 1,594693592849580031
North American area 1,594819443981287423
North American area 1,594692123970764799
North American area 1,594693575669710847
North American area 1,595181733062639615
North American area 1,594691084588679167
North American area 1,594988115936935935
North American area 1,595192058164019199
North American area 1,594990186111172607
North American area 1,594986277690933247
North American area 1,595192049574084607
North American area 1,594691806143184895
North American area 1,594985994223091711
North American area 1,594985633445838847
North American area 1,594693764648271871
North American area 1,594802032183869439
North American area 1,594988777361899519
North American area 1,595194274367143935
North American area 1,595179551219253247
North American area 1,595181801782116351
North American area 1,595192367401664511
North American area 1,595192083933822975
North American area 1,594986260511064063
North American area 1,594691282157174783
North American area 1,594692622186971135
North American area 1,595180607781208063
North American area 1,594986226151325695
North American area 1,595192676639309823
North American area 1,594993055149326335
North American area 1,595194815533023231
North American area 1,595179851866963967
North American area 1,594693532720037887
North American area 1,594987652080467967
North American area 1,595198234326990847
North American area 1,595196456210530303
North American area 1,594692665136644095
North American area 1,595179207621869567
North American area 1,595208370449809407
North American area 1,595194626554462207
North American area 1,594691599984754687
North American area 1,594988931980722175
North American area 1,595192221372776447
North American area 1,594988107347001343
North American area 1,595179680068272127
North American area 1,594988940570656767
North American area 1,594691668704231423
North American area 1,594802178212757503
North American area 1,595179585578991615
North American area 1,595195245029752831
North American area 1,595197572902027263
North American area 1,594802564759814143
North American area 1,594691230617567231
North American area 1,594692605007101951
North American area 1,594992788861353983
North American area 1,594801929104654335
North American area 1,595181114587348991
North American area 1,595194514885312511
North American area 1,594992754501615615
North American area 1,594991972817567743
North American area 1,595192590739963903
North American area 1,594988227606085631
North American area 1,594993441696382975
North American area 1,594992032947109887
North American area 1,594691625754558463
North American area 1,595178941333897215
North American area 1,594985693575380991
North American area 1,594988889031049215
North American area 1,595181784602247167
North American area 1,595195253619687423
North American area 1,595195081820995583
North American area 1,595192109703626751
North American area 1,594985925503614975
North American area 1,595207717614780415
North American area 1,594804067998367743
North American area 1,595184499021578239
North American area 1,594988339275235327
North American area 1,595192951517216767
North American area 1,595198483435094015
North American area 1,594690801120837631
North American area 1,595197564312092671
North American area 1,594986002813026303
North American area 1,595194583604789247
North American area 1,594985453057212415
North American area 1,595192616509767679
North American area 1,594992007177306111
North American area 1,595178932743962623
North American area 1,595182222688911359
North American area 1,595178898384224255
North American area 1,595179087362785279
North American area 1,594690740991295487
North American area 1,595194978741780479
North American area 1,595198199967252479
North American area 1,595192427531206655
North American area 1,595193535632769023
North American area 1,594802685018898431
North American area 1,595197710340980735
North American area 1,595194386036293631
North American area 1,594988837491441663
North American area 1,594988287735627775
North American area 1,594801868975112191
North American area 1,594804145307779071
North American area 1,595181853321723903
North American area 1,594987909778505727
North American area 1,595197126225428479
North American area 1,595198165607514111
North American area 1,595192736768851967
North American area 1,595192693819179007
North American area 1,594988167476543487
North American area 1,594985358567931903
North American area 1,594692012301615103
North American area 1,595196593649483775
North American area 1,594819736039063551
North American area 1,595199892184367103
North American area 1,595196645189091327
North American area 1,594985332798128127
North American area 1,594693635799252991
North American area 1,595182042300284927
North American area 1,595179576989057023
North American area 1,594693506950234111
North American area 1,595192874207805439
North American area 1,595179405190365183
North American area 1,594691797553250303
North American area 1,594985710755250175
North American area 1,595192152653299711
North American area 1,594988158886608895
North American area 1,595198337406205951
North American area 1,594986174611718143
North American area 1,594988433764515839
North American area 1,595181191896760319
North American area 1,594802161032888319
North American area 1,594993072329195519
North American area 1,595197624441634815
North American area 1,595192805488328703
North American area 1,594690783940968447
North American area 1,594988322095366143
North American area 1,595195116180733951
North American area 1,595181595623686143
North American area 1,595198380355878911
North American area 1,595181294975975423
North American area 1,594691471135735807
North American area 1,594992325004886015
North American area 1,594992290645147647
North American area 1,594992239105540095
North American area 1,594691488315604991
North American area 1,595192814078263295
North American area 1,595192942927282175
North American area 1,595180813939638271
North American area 1,594988459534319615
North American area 1,594988734412226559
North American area 1,595746821909774335
North American area 1,594804059408433151
North American area 1,594693670158991359
North American area 1,594992136026324991
North American area 1,594990194701107199
North American area 1,594992926300307455
North American area 1,595194351676555263
North American area 1,594692776805793791
North American area 1,594988751592095743
North American area 1,594992050126979071
North American area 1,594985719345184767
North American area 1,594691264977305599
North American area 1,595197633031569407
North American area 1,595181509724340223
North American area 1,595181758832443391
North American area 1,594802444500729855
North American area 1,595192960107151359
North American area 1,595181346515582975
North American area 1,595192315862056959
North American area 1,594987926958374911
North American area 1,595192350221795327
North American area 1,594802135263084543
North American area 1,595194360266489855
North American area 1,595746813319839743
North American area 1,594801997824131071
North American area 1,594986329230540799
North American area 1,594801044341391359
North American area 1,595192118293561343
North American area 1,595179173262131199
North American area 1,595181415235059711
North American area 1,594987557591187455
North American area 1,595193252164927487
North American area 1,595196619419287551
North American area 1,594992161796128767
North American area 1,594988407994712063
North American area 1,594988648512880639
North American area 1,594987841059028991
North American area 1,594801791665700863
North American area 1,594819478341025791
North American area 1,595179602758860799
North American area 1,594693524130103295
North American area 1,594985513186754559
North American area 1,595182248458715135
North American area 1,594690904200052735
North American area 1,594985676395511807
North American area 1,594690826890641407
North American area 1,594990160341368831
North American area 1,595746753190297599
North American area 1,594988399404777471
North American area 1,595192255732514815
North American area 1,595179697248141311
North American area 1,595194454755770367
North American area 1,594690809710772223
North American area 1,595193243574992895
North American area 1,594988124526870527
North American area 1,595181647163293695
North American area 1,594691539855212543
North American area 1,595194557834985471
North American area 1,595198534974701567
North American area 1,595194446165835775
North American area 1,595198449075355647
North American area 1,595179723017945087
North American area 1,594691651524362239
North American area 1,594691393826324479
North American area 1,595180874069180415
North American area 1,595194403216162815
