id_port_1,H3_int_8
KEFLAVIK,612619085898842111
STRAUMSVIK,612619122458492927
STRAUMSVIK,612619122448007167
HAFNARFJORDUR,612619122087297023
SKERJAFJORDUR,612619138696740863
SKERJAFJORDUR,612619138698838015
REYKJAVIK,612619142643580927
REYKJAVIK,612619142586957823
GRUNDARTANGI,612619137851588607
BILDUDALUR,612619154402312191
BILDUDALUR,612619154391826431
THINGEYRI,612619160750391295
THINGEYRI,612619160762974207
BOLUNGAVIK,612619208030683135
BOLUNGAVIK,612619208034877439
ISAFJORDUR,612619206290046975
ISAFJORDUR,612619206283755519
SAUDARKROKUR,612617251960389631
SIGLUFJORHURD,612618536967208959
SIGLUFJORHURD,612618536927363071
DALVIK,612618579109478399
DALVIK,612618579071729663
DALVIK,612618585327534079
AKUREYRI,612617537212907519
AKUREYRI,612617537292599295
HUSAVIK,612620607453921279
SEYDHISFJORDHUR,612619446315384831
NESKAUPSTADUR,612619452294365183
NESKAUPSTADUR,612619452233547775
ESKIFJORDHUR,612619431557726207
ESKIFJORDHUR,612619431614349311
ESKIFJORDHUR,612619431610155007
BUDIR,612619433166241791
BUDIR,612619433203990527
HORNABJORDUR,612619518342070271
HORNABJORDUR,612619518281252863
HORNABJORDUR,612619518964924415
VESTMANNAEYJAR,612618112214237183
VESTMANNAEYJAR,612618112438632447
VESTMANNAEYJAR,612618112434438143
QUTDLEQ,612967130540802047
KUSANARTOQ,612967116999491583
NANORTALIK HAVN,612966919523270655
NARSAQ,612967158867034111
NARSARSSUAQ,612966793480241151
NARSARSSUAQ,612966793517989887
GRONNEDAL (KANGILINNGUIT),612608958703599615
PAAMUIT (FREDERIKSHAB),612608938728226815
NUUK,612610294883024895
NUUK,612610294880927743
MANIITSOQ,612610223500165119
SISIMIUT,612609518678835199
SISIMIUT,612609518987116543
ATTU,612609449588162559
AASIAAT,612609694745231359
AASIAAT,612609688527175679
QASIGIANNGUIT-CHRISTIANSHAB,612609728750551039
ILLULISSAT (JAKOBSHAVN),612604566191472639
QEQERTARSUAQ,612604544691470335
KAJALLEQ UPERNAVIK,612604884551729151
PITUFFIK (THULE AIR BASE),612531697159766015
PITUFFIK (THULE AIR BASE),612531697147183103
POND INLET,612529963643437055
POND INLET,612529963641339903
PADLOPING ISLAND,612756619687624703
PADLOPING ISLAND,612756619714887679
PANGNIRTUNG,612753547225726975
GOOSE BAY,612976660142096383
GOOSE BAY,612976660137902079
CATALINA HARBOR/PORT UNION,612958243863396351
CLARENVILLE,612958399113461759
ST JOHN'S,612957972479344639
ST JOHN'S,612957972466761727
ARGENTIA,612958083762618367
ARGENTIA,612958083575971839
COME BY CHANCE HARBOR,612958364353167359
COME BY CHANCE HARBOR,612958364348973055
COME BY CHANCE HARBOR,612958364361555967
PORT DE ST PIERRE,612959084380946431
PORT AUX BASQUES,613248586160799743
STEPHENVILLE,613248535598465023
ST GEORGE'S,612975145413246975
ST GEORGE'S,612975145348235263
CORNER BROOK,612975178837655551
BLANC SABLON,612973487448915967
HAVRE ST PIERRE,613249609979920383
SEPT ILES,612741174655975423
POINTE NOIRE,612741177201917951
PORT CARTIER,612741144540872703
PORT CARTIER,612741144542969855
PORT CARTIER,612741144503123967
MATANE,613247441749147647
MATANE,613247442246172671
BAIE COMEAU,612740859963637759
RIMOUSKI,613247531142348799
LA BAIE (PORT ALFRED),613257382664863743
LA BAIE (PORT ALFRED),613257382729875455
CHICOUTIMI (PORT SAGUENAY),613257370316832767
CHICOUTIMI (PORT SAGUENAY),613257370377650175
RIVIERE DU LOUP,613247291513372671
RIVIERE DU LOUP,613247291517566975
QUEBEC,613257854891065343
PORT DE BECANCOUR,613257974271442943
TROIS RIVIERES,613257974055436287
SOREL,613257751679729663
SOREL,613257752180948991
MONTREAL,613257714667094015
VAUDREUIL,613254926723710975
OKA SUR LE LAC,613254925622706175
OKA SUR LE LAC,613254925561888767
HUDSON,613254925786284031
ST PLACIDE,613254925696106495
ST PLACIDE,613254925687717887
ST ANDREWS EAST,613254928338518015
CARILLON,613254928372072447
CHUTE A BLONDEAU,613254916145676287
GRENVILLE,613254883203612671
GRENVILLE,613254883209904127
HAWKESBURY,613254883140698111
HAWKESBURY,613254883136503807
FASSETT,613254884654841855
MONTEBELLO,613254884940054527
PAPINEAUVILLE,613254901434155007
THURSO,613254896080125951
ROCKLAND,613254895545352191
ROCKLAND,613254895536963583
CUMBERLAND,613254899083247615
MASSON,613254899175522303
MASSON,613254899183910911
GATINEAU,613255063407689727
HULL/OTTAWA,613255063067951103
BEAUHARNOIS,613254926683865087
COTEAU LANDING,613254924871925759
COTEAU LANDING,613254925058572287
ST ZOTIQUE,613254924901285887
ST ANICET,613254892665962495
SOUTH LANCASTER,613254892464635903
CORNWALL,613254890849828863
CARDINAL,613255808288817151
CARDINAL,613255808513212415
LOWER LAKES TERMINAL,613255824329932799
BROCKVILLE,613255778362458111
ROCKPORT,613255801827491839
GANANOQUE,613256851366084607
WOLFE ISLAND,613256846345502719
KINGSTON,613256846681047039
KINGSTON,613256846616035327
OGDENSBURG,613255776162545663
OGDENSBURG,613255824260726783
ALEXANDRIA BAY,613255802060275711
ALEXANDRIA BAY,613255801961709567
CLAYTON,613255797563981823
MILLHAVEN,613256848757227519
MILLHAVEN,613256848776101887
PICTON,613256813728497663
PICTON,613256813730594815
PICTON,613256813046923263
BELLEVILLE,613256833745813503
TRENTON,613256828484059135
COBOURG,613256585835184127
COBOURG,613256473400573951
PORT HOPE,613256472878383103
CONTRECOUR,613257747403636735
CONTRECOUR,613257749158952959
OSHAWA,613256704395575295
PORT WHITBY,613256485723439103
PORT WHITBY,613256485683593215
TORONTO,613256717519552511
PORT CREDIT,613256719782379519
CLARKSON,613256687945515007
CLARKSON,613256687958097919
OAKVILLE,613256687626747903
BRONTE,613256687817588735
BRONTE,613256687813394431
BRONTE,613256683742822399
HAMILTON,613256697957318655
HAMILTON,613256697944735743
PORT DALHOUSIE,613256666420346879
PORT DALHOUSIE,613256666432929791
PORT DALHOUSIE,613256666428735487
PORT WELLER,613256665961070591
WELLAND,613256673802321919
WELLAND,613256673804419071
THOROLD,613256690684395519
THOROLD,613256690686492671
ST CATHERINE,613256666359529471
ST CATHERINE,613256680756477951
ST CATHERINE,613256666355335167
NIAGARA,613256710259212287
NIAGARA,613256710271795199
QUEENSTON,613256678623674367
CHAUMONT,613255800988631039
SACKETS HARBOR,613255553604386815
SACKETS HARBOR,613255553610678271
OSWEGO,613255499214749695
SODUS BAY,613256572050604031
ROCHESTER,613256528637460479
