meType,fuel,_83,84_2000,2001_,pilot_mdo
SSD,HFO,205.0,185.0,175,
SSD,MDO,190.0,175.0,165,
SSD,Methanol,,,350,
MSD,HFO,215.0,195.0,185,
MSD,MDO,200.0,185.0,175,
MSD,Methanol,,,370,
HSD,HFO,225.0,205.0,195,
HSD,MDO,210.0,190.0,185,
LNG-Otto-MS,LNG,,173.0,156,
LNG-Otto-SS,LNG,,,148,0.8
LNG-Diesel,LNG,,,135,6.0
LBSI,LNG,,156.0,156,
Gas turbine,HFO,305.0,305.0,305,
Gas turbine,MDO,300.0,300.0,300,
Gas turbine,LNG,,,203,
Steam turbine,HFO,340.0,340.0,340,
Steam turbine,MDO,320.0,320.0,320,
Steam turbine,LNG,285.0,285.0,285,
